Species,Year
AYNA,2001
AYNA,2002
AYNA,2006
AYNA,2007
AYNA,2012
AYNA,2017
NRPE,2001
NRPE,2002
NRPE,2007
NRPE,2013
NRPE,2017
SGPE,2000
SGPE,2002
SGPE,2003
SGPE,2005
SGPE,2006
SGPE,2007
SGPE,2012
SGPE,2013
SGPE,2014
SGPE,2015
SGPE,2016
SGPE,2017
SOAL,2001
SOAL,2002
SOAL,2006
SOAL,2007
SOAL,2017
